Invasion for: Job1
50	50	
49	50	
49	51	
50	51	
51	50	
51	51	
52	51	
52	52	
52	50	
52	49	
51	49	
53	52	
53	51	
50	52	
51	52	
50	49	
50	48	
49	48	
49	49	
48	49	
48	48	
51	53	
51	54	
52	53	
50	54	
50	53	
50	55	
49	55	
49	54	
49	53	
48	54	
49	52	
48	52	
48	53	
51	55	
52	55	
53	55	
53	56	
52	56	
52	57	
51	56	
54	56	
54	57	
53	57	
53	58	
53	59	
54	58	
55	58	
51	57	
51	58	
50	58	
52	58	
52	59	
51	59	
50	59	
49	59	
49	58	
48	58	
49	57	
55	59	
53	54	
54	54	
54	55	
54	53	
53	53	
55	54	
56	58	
50	57	
50	56	
49	56	
55	55	
55	56	
56	56	
56	57	
55	57	
49	47	
49	46	
48	46	
47	46	
47	47	
48	47	
46	47	
46	46	
47	45	
48	45	
48	44	
47	44	
49	45	
49	44	
50	45	
51	45	
47	48	
46	48	
49	43	
49	42	
48	42	
50	43	
50	46	
51	46	
52	46	
51	47	
51	48	
52	47	
52	48	
50	47	
48	43	
47	43	
47	42	
53	47	
54	47	
54	48	
55	48	
56	48	
56	47	
56	46	
54	49	
53	49	
56	45	
56	44	
55	44	
54	44	
53	48	
54	46	
54	45	
53	45	
55	46	
55	47	
55	45	
54	43	
53	50	
53	46	
57	47	
53	44	
53	43	
52	43	
51	43	
51	42	
52	44	
51	41	
50	41	
51	40	
51	44	
50	44	
52	42	
46	45	
45	45	
45	44	
46	44	
46	43	
44	44	
44	45	
43	45	
43	44	
45	43	
45	42	
44	43	
44	42	
46	42	
42	44	
41	44	
42	43	
41	43	
40	44	
40	43	
40	42	
40	41	
39	42	
39	41	
40	45	
39	44	
39	45	
39	43	
38	43	
43	43	
43	42	
43	41	
44	41	
44	40	
44	39	
44	38	
45	39	
42	42	
41	42	
42	45	
42	46	
43	40	
42	40	
43	39	
43	38	
43	37	
43	36	
41	45	
41	46	
41	47	
40	46	
39	46	
39	47	
40	47	
40	48	
40	49	
41	49	
41	48	
