254	31	1	-119
1	4371
2	1742
3	1000
4	597
5	430
6	305
7	240
8	180
9	143
10	120
11	103
12	83
13	88
14	47
15	58
16	49
17	53
18	37
19	41
20	23
21	28
22	37
23	20
24	29
25	22
26	22
27	24
28	19
29	25
30	13
31	15
32	12
33	8
34	10
35	8
36	10
37	13
38	12
39	6
40	3
41	10
42	5
43	8
44	7
45	4
46	3
47	8
48	6
49	4
50	9
51	9
52	3
53	1
54	10
55	4
56	6
58	5
59	6
60	4
61	2
62	4
63	5
64	4
65	5
66	3
67	4
68	2
69	4
70	2
71	4
72	2
73	2
74	2
75	1
76	3
77	1
78	2
79	1
80	3
81	2
82	3
83	3
84	3
85	2
86	3
87	2
88	2
90	3
91	2
92	2
93	3
94	2
95	4
96	3
97	1
98	2
99	4
100	5
101	2
102	2
104	1
105	2
106	2
107	1
108	2
109	1
111	2
112	1
113	1
115	3
116	1
118	1
119	2
120	1
124	2
125	1
126	1
127	1
128	1
129	2
131	3
133	1
135	2
138	1
139	1
140	1
141	1
142	1
143	4
145	1
146	1
150	2
152	1
153	1
154	2
155	1
157	1
158	1
160	1
162	1
164	1
166	1
168	1
170	1
173	3
175	1
176	1
177	2
179	1
182	2
183	1
184	2
186	1
187	2
189	1
191	1
197	2
199	1
202	1
207	1
210	1
211	1
215	1
216	2
218	1
221	1
222	1
223	1
229	3
233	3
234	1
235	2
243	1
248	1
250	1
253	1
255	1
258	1
260	1
267	1
268	1
274	1
286	1
311	1
323	1
330	1
334	1
335	1
341	1
345	1
352	1
355	1
359	1
361	1
364	1
369	1
376	1
381	1
383	1
387	1
388	1
392	2
402	1
414	2
417	1
427	1
454	1
456	1
500	1
509	1
513	1
538	1
547	1
555	1
570	1
642	1
682	1
745	1
757	1
793	1
824	1
908	1
920	1
937	1
956	1
970	1
1031	1
1134	1
1163	1
1169	1
1217	1
1325	1
1595	1
1598	1
1638	1
1689	1
2025	1
2225	1
2435	1
2452	1
2705	1
2783	1
3130	1
3275	1
3493	1
4740	1
5286	1
6226	1
6531	1
8397	1
8970	1
12980	1
13352	1
21413	1
