14726
Invasion for: temp
0.55930607952177525	0	0	1	0
0.54954992141574621	1	0	1	-1
0.07490211259573698	1	-1	2	-1
0.020225830841809511	2	-1	2	0
0.14156170468777418	2	-1	3	-1
0.23330748826265335	2	0	2	1
0.2225752305239439	2	1	2	2
0.17720494326204062	2	2	2	3
0.26492756651714444	2	1	1	1
0.27965670544654131	1	1	0	1
0.15920512331649661	0	1	-1	1
0.12450905563309789	-1	1	-1	2
0.012153457850217819	-1	2	-2	2
0.27034334139898419	-1	2	0	2
0.060507055371999741	0	2	0	3
0.057349225971847773	0	3	-1	3
0.14151076413691044	-1	3	-1	4
0.034351095091551542	-1	4	-1	5
0.12515893811360002	-1	4	-2	4
0.13806481612846255	-2	4	-2	3
0.14809462940320373	-1	5	-1	6
0.28678242210298777	0	3	1	3
0.13365285890176892	1	3	1	4
0.18706341926008463	1	4	1	5
0.14841169258579612	1	5	0	5
0.17977642687037587	0	5	0	4
0.19962701760232449	1	3	1	2
0.20120899146422744	1	5	2	5
0.049801473040133715	2	5	2	6
0.22761271195486188	1	4	2	4
0.30542246298864484	2	4	3	4
0.054863153956830502	3	4	3	5
0.097051771357655525	3	4	3	3
0.34025850659236312	-2	4	-2	5
0.053424767218530178	-2	5	-3	5
0.14588982472196221	-3	5	-3	4
0.02084644790738821	-3	4	-4	4
0.25115907844156027	-3	5	-3	6
0.29720882512629032	-4	4	-4	3
0.050764201208949089	-4	3	-3	3
0.25957039091736078	-3	3	-3	2
0.27376679051667452	-4	3	-4	2
0.18769294628873467	-4	2	-4	1
0.12660574773326516	-4	1	-4	0
0.093543185386806726	-4	0	-3	0
0.16442074719816446	-4	0	-5	0
0.18469314742833376	-3	0	-3	-1
0.36138870334252715	2	2	3	2
0.11093289079144597	3	2	4	2
0.29258999601006508	3	2	3	1
0.39015596592798829	-3	0	-3	1
0.25899768900126219	-3	1	-2	1
0.40734340017661452	-2	5	-2	6
0.40760771464556456	2	6	3	6
0.42707687430083752	2	6	2	7
0.084553387481719255	2	7	2	8
0.17852030135691166	2	8	2	9
0.037868284620344639	2	9	3	9
0.011095616966485977	3	9	3	10
0.043380585499107838	3	10	3	11
0.11610201466828585	3	10	4	10
0.2623103354126215	2	8	3	8
0.2685853666625917	3	10	2	10
0.28282642271369696	2	7	1	7
0.34187098639085889	3	11	2	11
0.32640888914465904	2	11	1	11
0.04264828423038125	1	11	0	11
0.19226782862097025	0	11	0	10
0.22244302276521921	0	10	1	10
0.43265221733599901	3	11	3	12
0.44505425868555903	-3	6	-3	7
0.26168030919507146	-3	7	-3	8
0.15524474671110511	-3	8	-2	8
0.21100597362965345	-3	8	-3	9
0.31339065218344331	-2	8	-1	8
0.3449132451787591	-1	8	-1	7
0.18492002692073584	-1	7	0	7
0.42265430651605129	-3	7	-2	7
0.45454043336212635	2	6	1	6
0.39760152483358979	1	6	0	6
0.47317346790805459	0	10	0	9
0.45542318746447563	0	9	0	8
0.4822801579721272	-3	7	-4	7
0.49914735974743962	-1	1	-1	0
0.34137069061398506	-1	0	-2	0
0.50220938725396991	3	5	4	5
0.12882869970053434	4	5	4	4
0.42955659655854106	4	5	5	5
0.1231419388204813	5	5	6	5
0.011734128464013338	6	5	6	6
0.044611368793994188	6	5	7	5
0.018470764625817537	7	5	7	4
0.058994404971599579	6	6	5	6
0.020317969843745232	5	6	5	7
0.15227385936304927	5	7	4	7
0.2931811660528183	5	7	6	7
0.30831270013004541	4	7	4	6
0.49833458149805665	7	4	8	4
0.13914274889975786	8	4	8	5
0.50380170252174139	4	10	4	9
0.52258287137374282	4	4	5	4
0.49090003361925483	5	4	6	4
0.52990607265383005	-4	7	-4	6
0.19105591485276818	-4	6	-5	6
0.30197502998635173	-5	6	-5	7
0.31074516428634524	-5	6	-5	5
0.33016763720661402	-5	5	-5	4
0.40341822430491447	-5	5	-4	5
0.4355289121158421	-5	4	-5	3
0.53510733647271991	1	-1	1	-2
0.041009943000972271	1	-2	2	-2
0.10094691440463066	2	-2	2	-3
0.22879565646871924	1	-2	1	-3
0.11917987978085876	1	-3	1	-4
0.28637148253619671	1	-4	0	-4
0.089358048047870398	0	-4	0	-5
0.012030528392642736	0	-5	1	-5
0.28506459854543209	1	-5	2	-5
0.072818272281438112	2	-5	2	-4
0.29560675099492073	2	-4	3	-4
0.1304128454066813	3	-4	3	-3
0.0017239055596292019	3	-3	4	-3
0.22996208257973194	4	-3	4	-2
0.20827187318354845	4	-2	5	-2
0.33427898678928614	5	-2	6	-2
0.39709878712892532	3	-3	3	-2
0.41077163582667708	5	-2	5	-3
0.31892038742080331	5	-3	5	-4
0.23980304971337318	5	-4	4	-4
0.47111683525145054	0	-4	-1	-4
0.075210369657725096	-1	-4	-1	-3
0.04507211921736598	-1	-3	-1	-2
0.12846242263913155	-1	-2	0	-2
0.13357909489423037	-1	-4	-2	-4
0.25940700573846698	-1	-4	-1	-5
0.30762433260679245	0	-2	0	-1
0.024145231582224369	0	-1	-1	-1
0.3146191006526351	-1	-3	-2	-3
0.35630216961726546	-2	-4	-3	-4
0.35834979172796011	-2	-3	-2	-2
0.43679676111787558	-1	-5	-1	-6
0.19027581484988332	-1	-6	-1	-7
0.29072216572239995	-1	-7	-1	-8
0.45494585065171123	-2	-2	-3	-2
0.04935457743704319	-3	-2	-4	-2
0.13246113853529096	-3	-2	-3	-3
0.046349264215677977	-3	-3	-4	-3
0.10548675060272217	-4	-3	-5	-3
0.51348749035969377	-1	-6	-2	-6
0.50373659608885646	-2	-6	-2	-7
0.081189935561269522	-2	-7	-3	-7
